Book Name,Author,Genre,Average Ratings,Total Ratings,Publisher,Stall Number
Madhouse: True Stories Of The Inmates Of Hostel 4,Urmilla Deshpande,Nonfiction,3.71,86,Velvet Ink Press,13
The Golden Threshold,Sarojini Naidu,Poetry,4.07,90,Quartz Books,42
Programming Languages: Application and Interpretation,Shriram Krishnamurthi,ComputerScience,4.07,27,Riverbank Books,15
Molecular Evolution and Phylogenetics,Masatoshi Nei,Science,3.8,20,Coimbatore Press,13
"Storytellers, Saints, and Scoundrels: Folk Narrative in Hindu Religious Teaching",Kirin Narayan,Anthropology,3.83,46,"Global Reads, Coimbatore",6
Objectivity,Lorraine Daston,Philosophy,4.3,294,Coimbatore Press,3
API Design for C++,Martin Reddy,ComputerScience,4.08,136,Cobalt Blue Books,29
The Secret Letters of the Monk Who Sold His Ferrari,Robin S. Sharma,SelfHelp,4.04,8343,Velvet Ink Press,4
A History of the Sikhs: Volume 1: 1469-1839,Khushwant Singh,History,4.13,718,Quartz Books,2
Independence Day: Novelisation,Dean Devlin,ScienceFiction,3.52,578,Velvet Ink Press,49
Greater Ethiopia: The Evolution of a Multiethnic Society,Donald Nathan Levine,EasternAfrica,3.67,36,Ruby Editions,17
The Buddha and His Dhamma: A Critical Edition,B.R. Ambedkar,Religion,4.44,416,Mountain View Publishers,32
In The Light Of Day,Sasha Devlin,Romance,3.03,91,Lotus Pond Press,3
The Yellow Sign and Other Stories,Robert W. Chambers,Horror,4.12,912,"Urban Leaf Publications, Coimbatore",21
Lord of the Abyss,Nalini Singh,Romance,4.11,7703,Topaz Publishing,22
Beyond the Hundredth Meridian: John Wesley Powell and the Second Opening of the West,Wallace Stegner,History,4.07,3440,Lotus Book Publishers,22
Baby's First Book of Seriously Fucked-up Shit,Robert Devereaux,Horror,3.54,105,Star Light Publishing,16
The Mad Baron,Summer Devon,Romance,3.41,167,Sunrise Books,50
Loose Screw,Rae Davies,Mystery,3.65,2817,Blue Horizon Publishers,21
Biocapital: The Constitution of Postgenomic Life,Kaushik Sunder Rajan,Anthropology,3.84,51,Saffron Reads,30
The Dark Room,R.K. Narayan,Fiction,3.65,1269,Galaxy Press,28
The Year's Best Science Fiction: Twenty-Eighth Annual Collection,Gardner Dozois,ScienceFiction,3.86,530,Sunrise Books,31
Rad Dad: Dispatches from the Frontiers of Fatherhood,Tomas Moniz,Parenting,3.95,224,Jade Books,34
Brain Longevity: Breakthrough Medical Program That Improves Your Mind and Memory,Dharma Singh Khalsa,Health,3.76,119,Eastwood Publications,3
Delhi,Khushwant Singh,Fiction,3.81,2941,"Urban Leaf Publications, Coimbatore",9
The Company of Women,Khushwant Singh,Fiction,3.25,3930,BookTown Coimbatore,30
Shikwa and Jawab-i-Shikwa: Iqbal's Dialogue with Allah,Muhammad Iqbal,Poetry,4.54,685,"Global Reads, Coimbatore",14
Nehru: The Invention of India,Shashi Tharoor,History,3.84,979,CBE Publishers,23
Show Business,Shashi Tharoor,Cultural,3.2,430,"Global Reads, Coimbatore",8
"The Church: One, Holy, Catholic, and Apostolic",Richard D. Phillips,Religion,3.82,22,Crimson Press,25
The Shadow Lines,Amitav Ghosh,Fiction,3.85,7154,Eastwood Publications,19
The Circle of Reason,Amitav Ghosh,Fiction,3.43,1350,Coastal Breeze Publishers,17
"Dancing in Cambodia, at Large in Burma",Amitav Ghosh,Nonfiction,3.92,560,"Urban Leaf Publications, Coimbatore",26
Hullabaloo in the Guava Orchard,Kiran Desai,Fiction,3.46,5346,Magnolia Books,43
The Partition of India,Ian Talbot,Cultural,3.81,26,Velvet Ink Press,31
Where the Rain is Born: Writings About Kerala,Anita Nair,Cultural,3.84,304,Opal Book House,28
Fruit-Gathering,Rabindranath Tagore,Poetry,3.88,227,Coimbatore Press,15
Dream,Adam Montierth,Childrens,4.22,18,Emerald Literatures,26
"The Scottish Nation: A History, 1700 - 2000",T.M. Devine,History,3.92,287,Indigo Bookworks,37
By Desire Bound,Thea Devine,Romance,3.31,42,Silverline Publishers,46
Sybil Exposed: The Extraordinary Story Behind the Famous Multiple Personality Case,Debbie Nathan,Nonfiction,3.63,4426,Emerald Isle Publishers,43
The Man of Numbers: Fibonacci's Arithmetic Revolution,Keith Devlin,History,3.35,547,Heritage Publishing,11
Remembering Grandpa,Uma Krishnaswami,Childrens,4.19,48,Riverbank Books,31
Bringing Asha Home,Uma Krishnaswami,Parenting,4.06,93,Diamond Press,43
I'm Not Scared,Niccolo Ammaniti,Fiction,3.84,18446,Coimbatore Press,33
Purple Dandelion: A Muslim Woman's Struggle Against Violence and Oppression,Farida Sultana,Nonfiction,3.67,49,Riverdale Press,7
House of Mirrors,Bonnie Dee,Romance,3.82,393,Silverline Publishers,40
Enslaved by a Viking,Delilah Devlin,AdultFiction,3.67,112,CBE Publishers,7
The Ayurvedic Cookbook,Amadea Morningstar,FoodAndDrink,4.12,302,Amber Ink Publishers,4
Dangerous Motives,Blake Deveraux,Romance,4.33,6,Cobalt Blue Books,1
The killer instinct,Bob Cousy,Sports,3.33,9,Sunflower Press,43
Understanding The Tarot: A Personal Teaching Guide,Juliet Sharman-Burke,Occult,4.2,5,Emerald Literatures,23
Extreme Money: Masters of the Universe and the Cult of Risk,Satyajit Das,Economics,3.65,401,"Omni Books, Coimbatore",15
How to Design Programs: An Introduction to Programming and Computing,Matthias Felleisen,ComputerScience,4,238,Lotus Pond Press,8
Yamuna's Table: Healthy Vegetarian Cuisine Inspired by the Flavors of India,Yamuna Devi,FoodAndDrink,4.19,26,Silver Oak Publishing,35
Vegan 101: Master Vegan Cooking with 101 Great Recipes,Kate Devivo,FoodAndDrink,3.57,14,Orchid Publications,31
Handy Men,Delilah Devlin,Erotica,3.73,196,Coral Wave Press,45
Moonlight in the Morning,Jude Deveraux,Romance,4,3429,Heritage Publishing,27
The Promise Of The Metropolis: Bangalore's Twentieth Century,Janaki Nair,Geography,4.33,18,Emerald Literatures,8
The White People and Other Weird Stories,Arthur Machen,Horror,4.05,1713,Cherry Blossom Books,6
The Legacy of Vashna,Joe Dever,Fantasy,3.86,206,Coimbatore Press,10
The Basket Ball,EsmAA Raji Codell,Childrens,3.3,83,BookTown Coimbatore,5
Gandhi: An autobiography,Mahatma Gandhi,Biography,4.06,58912,Citrine Press,6
Discrete and Computational Geometry,Satyan L. Devadoss,Science,4.4,10,Riverdale Press,30
The Vendor of Sweets,R.K. Narayan,Fiction,3.77,2386,Orchid Publications,39
The Captain's Verses,Pablo Neruda,Poetry,4.23,7695,Marigold Press,29
Horn Ok Please -  HOPping To Conclusions,Kartik Iyengar,Humor,3.08,314,Lotus Book Publishers,35
Secrets and Wives: The Hidden World of Mormon Polygamy,Sanjiv Bhattacharya,Nonfiction,3.85,660,Emerald Literatures,42
The Loss Library and Other Unfinished Stories,Ivan VladislaviAa,SouthernAfrica,4.07,67,Coimbatore Press,4
The Artist of Disappearance,Anita Desai,Fiction,3.37,1393,Greenfield Publishing,16
The Shadow of the Great Game: The Untold Story of India's Partition,Narendra Singh Sarila,History,4.11,221,Citrine Press,37
Where the Wild Frontiers Are,Manan Ahmed,Cultural,4.5,4,Citrine Press,42
Rosa Lee: A Mother and Her Family in Urban America,Leon Dash,Nonfiction,4.25,619,BookTown Coimbatore,6
The Concepts and Practice of Mathematical Finance,Mark S. Joshi,Economics,4.13,56,CBE Publishers,40
Chokher Bali,Rabindranath Tagore,Fiction,3.91,4042,Cobalt Blue Books,42
"Switchgear Protection And Power Systems (Theory, Practice & Solved Problems)",Sunil S. Rao,Science,3.9,287,Fernwood Publishers,16
Neela: Victory Song,Chitra Banerjee Divakaruni,Historical,3.84,1068,Crimson Press,28
ABC of Astrology,Bernie Morris,Esoterica,4.38,60,CBE Publishers,3
The Moral Authority of Nature,Lorraine Daston,Environment,3.33,6,Pearl Press,9
"Ponniyin Selvan - The Pinnacle of Sacrifice, Vol. 1",Kalki,Historical,4.72,2000,"Urban Leaf Publications, Coimbatore",23
Who Were the Early Israelites and Where Did They Come From?,William G. Dever,History,3.88,179,Emerald Isle Publishers,8
Gypsy Masala,Preethi Nair,Cultural,3.34,128,NorthStar Books,24
Sahara Special,EsmAA Raji Codell,RealisticFiction,3.96,3422,"Global Reads, Coimbatore",35
Elders in Congregational Life: Rediscovering the Biblical Model for Church Leadership,Phil A. Newton,Leadership,4.01,72,Silverline Publishers,29
Theories of International Relations,Scott Burchill,PoliticalScience,3.93,378,Sunflower Press,23
"Probability, Random Variables and Stochastic Processes with Errata Sheet",Athanasios Papoulis,Science,4.21,133,Star Light Publishing,19
India's Ancient Past,R.S. Sharma,History,4.15,1017,Coastal Breeze Publishers,23
Daughters of the Dust,Julie Dash,Fiction,4.29,228,Maple Leaf Books,7
"The Astrologer, the Counsellor and the Priest: Two Seminars on Astrological Counselling",Juliet Sharman-Burke,Esoterica,4.44,9,Emerald Isle Publishers,3
The Mahabharata: A Shortened Modern Prose Version of the Indian Epic,Krishna-Dwaipayana Vyasa,Cultural,4.16,1898,Sunrise Books,4
Mahabharata,C. Rajagopalachari,Classics,4.31,9882,Cherry Blossom Books,33
"The Mahabharata: A Modern Rendering, Vol. 2",Ramesh Menon,Fantasy,4.45,281,Coral Wave Press,18
"Peter S. Beagle's Immortal Unicorn, Part 1",Peter S. Beagle,Fantasy,3.77,64,Cherry Blossom Books,10
Wise and Otherwise,Sudha Murty,Nonfiction,3.98,10086,"Global Reads, Coimbatore",41
Pakistan & the Karakoram Highway,Sarina Singh,Cultural,3.65,40,Goldleaf Publishers,25
Ourselves Alone - Acting Edition,Anne Devlin,Plays,3.68,99,Marigold Press,5
Jewelry for the New Romantic: Unexpected Techniques with Crystals and Beading Wire,Nealay Patel,Jewellery,3.63,16,Silverline Publishers,34
Poetics of Conduct: Oral Narrative and Moral Being in a South Indian Town,Leela Prasad,Anthropology,4.09,11,CBE Publishers,50
Tangle of Need,Nalini Singh,Romance,4.06,21663,Teal Publications,21
The Fractal Prince,Hannu Rajaniemi,ScienceFiction,4.05,7759,Magnolia Books,22
"To the Ends of the Earth: Scotland's Global Diaspora, 1750-2010",T.M. Devine,History,3.77,77,Star Light Publishing,46
Dreamer and a Visionary: H. P. Lovecraft in His Time,S.T. Joshi,Fantasy,4.33,30,Silverline Publishers,5
Portrait of Jennie,Robert Nathan,Fantasy,4.05,1071,Teal Publications,12
Alien Vault: The Definitive Story of the Making of the Film,Ian Nathan,Culture,4.45,364,Lotus Pond Press,48
Fire on the Mountain,Anita Desai,Fiction,3.61,884,Coimbatore Press,36
"Mirror, Mirror on the Wall: Women Writers Explore Their Favorite Fairy Tales",Kate Bernheimer,Nonfiction,3.95,433,Indigo Bookworks,9
"Freedom with Violence: Race, Sexuality, and the US State",Chandan Reddy,Race,3.98,50,Sunrise Books,5
Dark Woods,Jay Kumar,Horror,3.71,70,"Urban Leaf Publications, Coimbatore",29
A Conversation,Nalini Singh,Fantasy,3.84,3002,Heritage Publishing,4
Introduction to Data Mining,Vipin Kumar,Nonfiction,3.97,348,Opal Book House,8
The Psychedelic Experience: A Manual Based on the Tibetan Book of the Dead,Timothy Leary,Nonfiction,3.75,4619,Marigold Press,29
The Mammoth Book of Steampunk,Sean Wallace,ScienceFiction,3.47,722,Heritage Publishing,36
Giver of the Worn Garland: Krishnadevaraya's Amuktamalyada,Srinivas Reddy,Poetry,4.38,24,"Urban Leaf Publications, Coimbatore",15
Cherry Blossom Capers,Gina Conroy,Romance,3.58,96,Blue Horizon Publishers,30
Beyond Indigo,Preethi Nair,Fiction,3.64,303,Ruby Editions,45
Collected Poems: In English,Arun Kolatkar,Poetry,4.34,50,Amber Ink Publishers,43
Eclipse: Living in the Shadow of China's Economic Dominance,Arvind Subramanian,Cultural,3.69,45,NorthStar Books,24
Secrets in the Marriage Bed,Nalini Singh,Romance,3.58,887,Opal Book House,43
Arctic Voices: Resistance at the Tipping Point,Subhankar Banerjee,Environment,4.33,36,Pearl Press,2
Birds of Illinois,Sheryl DeVore,Reference,4.25,20,Diamond Press,33
Beginner's Guide to Tarot,Juliet Sharman-Burke,Reference,4,95,Diamond Press,4
Mastering the Tarot: An Advanced Personal Teaching Guide,Juliet Sharman-Burke,Occult,3.52,21,Coastal Breeze Publishers,37
Tarot Workbook,Juliet Sharman-Burke,Occult,3.78,9,Onyx Publishing,19
Canadian Human Resource Management,Hermann F. Schwind,Management,3.94,18,Velvet Ink Press,26
The Foods of Israel Today: More Than 300 Recipes--And Memories--Reflecting Israel's Past and Present Through Its Many Cuisines,Joan Nathan,FoodAndDrink,4.32,72,Amber Ink Publishers,8
What's That From?: The Ultimate Quiz Book of Memorable Movie Lines Since 1969,Jai Nanda,MediaTieIn,3.31,16,Sunrise Books,42
The Itinerary of Benjamin of Tudela: Travels in the Middle Ages,Benjamin of Tudela,History,3.52,63,Indigo Bookworks,7
The Lilac House,Anita Nair,Fiction,3.46,813,Coimbatore Book House,27
Nate the Great and the Phony Clue,Marjorie Weinman Sharmat,Mystery,3.97,523,Crimson Press,18
Nate the Great and the Fishy Prize,Marjorie Weinman Sharmat,Mystery,3.95,459,Blue Horizon Publishers,49
Nate The Great And The Lost List,Marjorie Weinman Sharmat,Mystery,3.98,627,Coimbatore Press,29
Trail of the Wolf,Joe Dever,Fantasy,3.73,56,Galaxy Press,35
The Architecture of Language,Noam Chomsky,Humanities,3.5,197,Cherry Blossom Books,15
"The Mahabharata: A Modern Rendering, Vol. 1",Ramesh Menon,Fantasy,4.48,551,Fernwood Publishers,39
The Bhagavata Purana (Clothbound),Ramesh Menon,Religion,4.31,147,Velvet Ink Press,46
The Incredible Banker,Ravi Subramanian,Fiction,3.58,2435,Silverline Publishers,31
The Curse of Naar,Joe Dever,Fantasy,3.88,146,Quartz Books,50
The Captives of Kaag,Joe Dever,Fantasy,3.73,240,"Global Reads, Coimbatore",43
The Dungeons of Torgar,Joe Dever,Fantasy,3.86,380,Blue Horizon Publishers,41
Emerald Enchanter,Joe Dever,Games,2.95,22,Maple Leaf Books,4
Scarlet Sorcerer,Joe Dever,Games,3.16,19,Star Light Publishing,28
The Masters of Darkness,Joe Dever,Fantasy,3.94,349,Marigold Press,31
The Jungle of Horrors,Joe Dever,Fantasy,3.77,444,Emerald Isle Publishers,18
The Forbidden City,Ian Page,Fantasy,3.75,137,Orchid Publications,31
Eclipse of the Kai,Joe Dever,Fantasy,3.72,181,Riverdale Press,44
Beyond the Nightmare Gate,Ian Page,Fantasy,3.82,115,Cobalt Blue Books,28
The Sacrifice of Ruanon,Joe Dever,Fantasy,3.91,35,Maple Leaf Books,18
The Omega Zone,Joe Dever,Games,4,46,Fernwood Publishers,4
Highway Holocaust,Joe Dever,Games,3.81,84,Quartz Books,30
Slaughter Mountain Run,Joe Dever,Games,3.71,56,Crimson Press,30
The Lorestone of Varetta,Joe Dever,Fantasy,3.87,30,Lotus Pond Press,31
The Skull Of Agarash (Lone Wolf Graphic Novels),Joe Dever,Games,3.38,16,Topaz Publishing,2
California Countdown,Joe Dever,Games,4.11,37,Marigold Press,18
The Voyage of the Moonstone,Joe Dever,Fantasy,3.81,83,Goldleaf Publishers,4
Mydnight's Hero,Joe Dever,Fantasy,3.85,54,Diamond Press,10
The Buccaneers of Shadaki,Joe Dever,Fantasy,3.86,57,Magnolia Books,37
Rune War,Joe Dever,Fantasy,3.77,57,Amber Ink Publishers,42
The Fall of Blood Mountain,Joe Dever,Fantasy,3.67,43,Magnolia Books,9
Vampirium,Joe Dever,Fantasy,3.6,47,Ruby Editions,22
The Hunger of Sejanoz,Joe Dever,Fantasy,3.8,35,Maple Leaf Books,15
Grey Star the Wizard,Ian Page,Fantasy,3.91,285,Marigold Press,41
"Sardar Vallabhbhai Patel, India's Iron Man",Balraj Krishna,Anthologies,3.93,83,Emerald Isle Publishers,42
The Chomsky-Foucault Debate: On Human Nature,Noam Chomsky,Philosophy,3.93,2509,Silverline Publishers,26
A Four-Gone Conclusion,Delilah Devlin,AdultFiction,3.89,499,Onyx Publishing,4
Honus Wagner: A Biography,Dennis DeValeria,Sports,3.79,104,Jade Books,26
I Never Thought I Could Fall In Love,Chanchaldeep Singh Sandhu,Romance,3.02,265,Eastwood Publications,41
"Sesher Kobita, The Last Poem",Rabindranath Tagore,Romance,4.24,2729,Coimbatore Press,45
Gora,Rabindranath Tagore,Fiction,4.25,3584,Jade Books,35
The Man Within My Head,Pico Iyer,Nonfiction,3.7,422,Magnolia Books,10
Solid State Electronic Devices,Ben G. Streetman,Textbooks,4.04,294,NorthStar Books,23
Thinking about Exhibitions,Reesa Greenberg,Art,3.98,45,Cherry Blossom Books,23
Black Baron,Joe Dever,Games,3.36,28,Silverline Publishers,44
For Matrimonial Purposes,Kavita Daswani,Adult,3.34,2130,Star Light Publishing,43
"Salaam, Paris",Kavita Daswani,Fiction,3.1,602,Velvet Ink Press,45
The Village Bride of Beverly Hills,Kavita Daswani,WomensFiction,3.39,1194,Riverbank Books,46
Foundations of Security: What Every Programmer Needs to Know,Neil Daswani,ComputerScience,3.64,50,Amber Ink Publishers,4
Alive in the Writing: Crafting Ethnography in the Company of Chekhov,Kirin Narayan,Anthropology,4.17,104,Maple Leaf Books,8
Mining of Massive Datasets,Anand Rajaraman,Science,4.38,219,Heritage Publishing,24
Batavia's Graveyard: The True Story of the Mad Heretic Who Led History's Bloodiest Mutiny,Mike Dash,History,4.14,2989,Star Light Publishing,42
A Lady's Revenge,Tracey Devlyn,Romance,3.64,536,"Urban Leaf Publications, Coimbatore",28
The Horror in the Museum & Other Revisions,H.P. Lovecraft,Horror,4.24,1140,Marigold Press,5
Doctor Who: A Celebration - Two Decades Through Time and Space,Peter Haining,MediaTieIn,4.11,199,Indigo Bookworks,6
"Data Mining for Business Intelligence: Concepts, Techniques, and Applications in Microsoft Office Excel with Xlminer",Galit Shmueli,Business,3.72,100,Fernwood Publishers,2
Food Movements Unite!: Strategies to Transform Our Food System,Samir Amin,FoodAndDrink,4,16,Eastwood Publications,37
Rifftide: The Life and Opinions of Papa Jo Jones,Papa Jo Jones,Music,3.5,16,Onyx Publishing,6
Breakout Nations: In Pursuit of the Next Economic Miracles,Ruchir Sharma,Economics,4.05,2600,Goldleaf Publishers,40
Embraces: Dark Erotica,Paula Guran,Fiction,3.71,17,Silverline Publishers,8
Astrology & Past Lives,Mary Devlin,Esoterica,3.84,19,Riverdale Press,17
Under the Banyan Tree and Other Stories,R.K. Narayan,Fiction,3.97,848,BookTown Coimbatore,10
The Ramayana: A Shortened Modern Prose Version of the Indian Epic,R.K. Narayan,Classics,3.92,4341,Pearl Press,19
The Guide,R.K. Narayan,Fiction,3.92,8900,Blue Horizon Publishers,22
Me and You,NiccolAA2 Ammaniti,Fiction,3.54,8414,Galaxy Press,25
Five Ways 'til Sunday,Delilah Devlin,AdultFiction,3.63,923,Indigo Bookworks,45
The Selected Works of Bhagat Singh,Bhagat Singh,Cultural,4.54,196,Crimson Press,1
Can Love Happen Twice?,Ravinder Singh,Romance,3.3,21337,Marigold Press,34
Ti prendo e ti porto via,NiccolAA2 Ammaniti,Fiction,3.83,8192,Heritage Publishing,46
Agnostic Khushwant: There Is No God,Khushwant Singh,Nonfiction,3.38,282,Riverdale Press,16
Digital Rapture: The Singularity Anthology,James Patrick Kelly,ScienceFiction,3.96,72,Crimson Press,13
"Beyond Snapshots: How to Take That Fancy DSLR Camera Off ""Auto"" and Photograph Your Life like a Pro",Rachel Devine,Art,4.07,228,"Global Reads, Coimbatore",49
Muffins,Marc Grossman,FoodAndDrink,4.75,4,Mountain View Publishers,25
Field Instruction: A Guide for Social Work Students,David Royse,SocialScience,3.43,14,Fernwood Publishers,24
"Screw the Roses, Send Me the Thorns: The Romance and Sexual Sorcery of Sadomasochism",Philip    Miller,Erotica,4.01,1346,Coastal Breeze Publishers,33
The Kill Order,James Dashner,YoungAdult,3.71,174922,Mountain View Publishers,38
The Lady and the Monk: Four Seasons in Kyoto,Pico Iyer,Cultural,3.79,2009,Citrine Press,18
Abandon,Pico Iyer,Fiction,3.19,359,NorthStar Books,19
Sun After Dark: Flights Into the Foreign,Pico Iyer,Travel,3.73,620,Fernwood Publishers,23
Falling Off the Map: Some Lonely Places of the World,Pico Iyer,Travel,3.81,1733,Blue Horizon Publishers,41
Video Night in Kathmandu and Other Reports from the Not-So-Far East,Pico Iyer,Travel,3.87,2862,Cobalt Blue Books,47
Tropical Classical,Pico Iyer,Travel,3.68,157,Eastwood Publications,40
The Burn List,Julia Devlin,AdultFiction,3.82,1024,Fernwood Publishers,31
After Amnesia: Tradition And Change In Indian Literary Criticism,G.N. Devy,Criticism,3.85,26,Coimbatore Book House,14
It's Time for Preschool!,EsmAA Raji Codell,Academic,3.54,94,Lotus Pond Press,30
Target 3 Billion: Innovative Solutions Towards Sustainable Development,A.P.J. Abdul Kalam,Cultural,4.31,793,NorthStar Books,19
Basic Machines and How They Work,Naval Education,Science,3.95,197,"Omni Books, Coimbatore",32
"The Best Science Fiction and Fantasy of the Year, Volume 6",Jonathan Strahan,Fantasy,3.92,394,Goldleaf Publishers,18
Big Bang: The Origin of the Universe,Simon Singh,Science,4.19,16871,Citrine Press,42
The Bishop's Wife,Robert Nathan,Fiction,3.1,260,"Urban Leaf Publications, Coimbatore",49
Muhammad Ali: The King of the Ring: A Graphic Novel,Lewis Helfand,SequentialArt,3.84,38,Blue Horizon Publishers,16
Santa Steps Out,Robert Devereaux,Horror,3.69,337,Lotus Book Publishers,18
Harbart,Nabarun Bhattacharya,Cultural,4.05,416,Cobalt Blue Books,23
Preach: Theology Meets Practice,Mark Dever,Christian,4.13,402,Jade Books,21
Probabilistic Models of the Brain: Perception and Neural Function,Rajesh P.N. Rao,Biology,4.33,6,Sunrise Books,2
Physical Geography,Savindra Singh,Science,4.01,388,Saffron Reads,45
Probability And Statistics For Engineering And The Sciences,Jay L. Devore,Science,3.43,178,Orchid Publications,15
Besieged Rhodes: A New History,Kelly DeVries,Nonfiction,3.75,8,Silverline Publishers,38
Saddam's Generals: Perspectives on the Iran-Iraq War: Perspectives on the Iran-Iraq War,Kevin M. Woods,Cultural,4,9,Saffron Reads,24
A Small Fortune,Rosie Dastgir,Fiction,3.26,329,Cherry Blossom Books,9
Islamophobia and the Politics of Empire,Deepa Kumar,Nonfiction,3.89,257,Riverdale Press,13
On the Way to Gretna Green,Marian Devon,Historical,3.69,29,Diamond Press,45
The Witch Thief,Lori Devoti,Romance,3.44,88,CBE Publishers,3
The Library Book,Rebecca   Gray,Nonfiction,3.76,1191,Emerald Isle Publishers,29
Sea of Poppies,Amitav Ghosh,Fiction,3.96,23843,Eastwood Publications,29
A Mutiny in Time,James Dashner,ScienceFiction,3.75,6449,Emerald Isle Publishers,7
Dissecting Cthulhu: Essays on the Cthulhu Mythos,S.T. Joshi,Criticism,4.18,45,"Omni Books, Coimbatore",1
Under the Drones: Modern Lives in the Afghanistan-Pakistan Borderlands,Shahzad Bashir,Nonfiction,3.83,23,Quartz Books,24
Sociology: Principles of Sociology with an Introduction to Social Thought,Shankar C.N Rao,Sociology,3.74,425,Jade Books,13
An Introduction to International Relations,Richard Devetak,Politics,3.58,26,"Omni Books, Coimbatore",4
Luminous Chaos,Jean-Christophe Valtat,ScienceFiction,3.75,106,BookTown Coimbatore,9
If It's Not Forever. It's Not Love.,Durjoy Datta,Romance,3.66,9093,Coimbatore Book House,49
The Indispensable Enemy: Labor and the Anti-Chinese Movement in California,Alexander Saxton,History,3.83,29,Velvet Ink Press,12
"Overcoming Trauma and PTSD: A Workbook Integrating Skills from ACT, DBT, and CBT",Sheela Raja,Psychology,3.9,94,Indigo Bookworks,12
The East India Company: The World's Most Powerful Corporation,Tirthankar Roy,History,3.37,178,Blue Horizon Publishers,43
Think on These Things,Jiddu Krishnamurti,Philosophy,4.12,4058,Coastal Breeze Publishers,46
Faitheist: How An Atheist Found Common Ground With The Religious,Chris Stedman,Religion,3.81,794,Coimbatore Book House,46
Movie Night,Nalini Singh,Fantasy,4.11,3229,Teal Publications,17
Daksh,Shamik Dasgupta,SequentialArt,3.7,10,Coral Wave Press,40
The Best Horror of the Year: Volume Four,Ellen Datlow,Horror,3.71,717,Magnolia Books,47
